,165(Tl),5,240,-55〜175,-55〜175,45
﻿,155(Tl),10,250,-55〜175,-55〜175,45
﻿,145(Tl),15,270,-55〜175,-55〜175,45
﻿,164(Tl),5,210,-55〜175,-55〜175,60
﻿,154(Tl),10,230,-55〜175,-55〜175,60
﻿,143(Tl),15,250,-55〜175,-55〜175,60
﻿,162(Tl),5,210,-55〜175,-55〜175,100
﻿,152(Tl),10,230,-55〜175,-55〜175,100
﻿,141(Tl),15,250,-55〜175,-55〜175,100
﻿,162(Tl),5,210,-55〜175,-55〜175,150
﻿,149(Tl),10,230,-55〜175,-55〜175,150
﻿,138(Tl),15,230,-55〜175,-55〜175,150
﻿,152,15,300,-55〜175,-55〜175,40
﻿,149,20,400,-55〜175,-55〜175,40
﻿,158,6,90,175,-55〜175,40
﻿,127(Tl),3,90,175,-55〜175,40
﻿,125(Tl),3,90,175,-55〜175,60
﻿,143(Tl),2,60,175,-55〜175,40
﻿,136(Tl),2,50,175,-55〜175,100
﻿,116(Tl),3,60,175,-55〜175,150
﻿,131,40,700,150,-55〜150,150
﻿,158,10,150,175,-55〜175,100
﻿,119,20,250,150,-55〜150,100
﻿,118,20,250,150,-55〜150,150
﻿,114,30,300,150,-55〜150,40
﻿,108,30,300,150,-55〜150,100
﻿,107,30,300,150,-55〜150,150
﻿,105,40,400,150,-55〜150,100
﻿,103,40,400,150,-55〜150,150
﻿,141(Tl),2,60,175,-55〜175,60
﻿27,,1,20,150,-55〜150,30
﻿,113(Tl),1,20,125,-55〜125,30
﻿36,,1,30,150,-55〜150,40
﻿,128(Tl),1,30,150,-55〜150,60
﻿,125(Tl),1,30,150,-55〜150,100
﻿65,,1.4,30,150,-55〜150,150
﻿37,,1.5,30,150,-55〜150,30
﻿,107(Tl),1.5,30,125,-55〜125,30
﻿,122(Tl),1.5,40,150,-55〜150,60
﻿25,,1.2,40,150,-55〜150,60
﻿25,,1.29,30,125,-55〜125,30
﻿25,,1.33,30,150,-55〜150,40
﻿,105,1.5,30,125,-55〜125,30
﻿31,,1.5,30,150,-55〜150,40
﻿,100,3,30,150,-55〜150,30
﻿52,,1,50,150,-55〜150,100
﻿51,,1.1,30,150,-55〜150,40
﻿25,,1.1,40,150,-55〜150,60
﻿28,,1.5,60,150,-55〜150,40
﻿,98(Tl),2,60,125,-55〜125,30
﻿,117(Tl),2,50,150,-55〜150,40
﻿,110,2,30,150,-55〜150,80
﻿,103(Tl),2.5,60,150,-55〜150,60
﻿,95,3,60,125,-55〜125,30
﻿,100,3,30,150,-55〜150,80
﻿,116(Tl),3,60,175,-55〜175,100
﻿,83,5,90,150,-55〜150,30
﻿,106(Tl),3,80,150,-55〜150,40
﻿,112(Tl),3,100,150,-55〜150,60
﻿,136(Tl),3,80,175,-55〜175,150
﻿,70,6,110,125,-55〜125,30
﻿,99,6,120,150,-55〜150,30
﻿31,,1.5,60,150,-40〜150,60
﻿34,,1.6,60,150,-55〜150,40
﻿34,,2.6,150,150,-55〜150,40
﻿,74(Tl),3,150,125,-55〜125,30
﻿,87(Tl),3,80,150,-55〜150,60
﻿,92(Tl),3,100,150,-55〜150,100
﻿,121,3,70,150,-40〜150,40
﻿,117,3,80,150,-40〜150,60
﻿,101,5,80,150,-40〜150,40
﻿,96,5,90,150,-40〜150,60
﻿,95,10,200,125,-55〜125,30
﻿,124,10,250,150,-55〜150,30
﻿,131,5,150,150,-55〜150,40
﻿,130,5,120,150,-55〜150,60
﻿,124,5,90,150,-55〜150,90
﻿,122,90,1400,150,-55〜150,150
﻿59,,1,30,150,-55〜150,40
﻿46,,1,30,150,-55〜150,60
﻿,122(Tl),2,60,150,-40〜150,40
﻿,119(Tl),2,60,150,-40〜150,60
﻿63,,3,80,150,-40〜150,40
﻿,133(Tl),3,80,150,-40〜150,60
﻿,90,5,90,125,-55〜125,30
﻿,110,5,90,150,-55〜150,30
﻿,101,5,80,150,-40〜150,40
﻿,92,5,80,150,-40〜150,60
﻿,97,10,80,125,-55〜125,30
﻿,124,10,100,150,-55〜150,30
﻿,132,10,100,150,-55〜150,40
﻿,154,6,100,175,-55〜175,100
﻿,154,6,100,175,-55〜175,120
﻿,154,6,100,175,-55〜175,150
﻿,125,10,100,150,-40〜150,40
﻿,132,10,150,150,-55〜150,60
﻿,131,10,150,150,-55〜150,90
﻿,123,10,100,150,-55〜150,150
﻿,129,15,150,150,-40〜150,40
﻿,126,15,150,150,-55〜150,100
﻿,126,15,150,150,-55〜150,150
﻿,105,20,200,125,-55〜125,30
﻿,122,20,230,150,-40〜150,40
﻿,111,20,200,150,-40〜150,90
﻿,121,20,200,150,-55〜150,100
﻿,121,20,200,150,-55〜150,150
﻿,115,25,300,150,-40〜150,60
﻿,97,30,300,125,-55〜125,30
﻿,119,30,350,150,-55〜150,30
﻿,115,30,250,150,-55〜150,40
﻿,112,30,360,150,-40〜150,40
﻿,108,30,250,150,-55〜150,60
﻿,116,30,300,150,-55〜150,100
﻿,115,30,300,150,-55〜150,150
﻿,105,40,350,125,-55〜125,30
﻿,112,40,400,150,-55〜150,30
﻿,106,40,350,150,-55〜150,40
﻿,155,8,80,175,-55〜175,40
﻿,136,10,150,150,-55〜150,30
﻿,150,10,150,175,-55〜175,40
﻿,145,10,140,175,-55〜175,60
﻿,139,10,150,175,-55〜175,90
﻿,153,10,120,175,-55〜175,150
﻿,117,15,150,150,-55〜150,40
﻿,113,15,180,150,-55〜150,60
﻿,124,20,250,150,-55〜150,30
﻿,115,20,200,150,-55〜150,40
﻿,106,20,200,150,-55〜150,60
﻿,107,20,200,150,-55〜150,60
﻿,112,20,200,150,-55〜150,90
﻿,140,20,200,175,-55〜175,100
﻿,137,20,200,175,-55〜175,120
﻿,136,20,200,175,-55〜175,150
﻿,117,30,350,150,-55〜150,30
﻿,101,30,300,150,-55〜150,40
﻿,90,30,250,150,-55〜150,60
﻿,100,30,300,150,-55〜150,60
﻿,126,30,300,175,-55〜175,100
﻿,122,30,300,175,-55〜175,120
﻿,122,30,300,175,-55〜175,150
﻿,116,40,350,175,-55〜175,100
﻿,112,40,350,175,-55〜175,120
﻿,136,20,200,150,-55〜150,90
﻿,132,30,300,150,-55〜150,40
﻿,129,30,300,150,-55〜150,60
﻿,128,30,300,150,-55〜150,150
﻿,111,40,450,125,-55〜125,15
﻿,110,60,600,125,-55〜125,15
﻿,112,60,650,125,-55〜125,30
﻿,138,60,650,150,-55〜150,30
﻿,127,60,500,150,-55〜150,40
﻿,121,60,470,150,-55〜150,60
﻿,118,60,500,150,-55〜150,100
﻿,117,25,300,150,-40〜150,60
﻿,112,30,300,150,-40〜150,40
﻿,117,25,300,150,-40〜150,60
﻿49,,1.2,40,150,-40〜150,40
﻿,90,120,800,125,-40〜125,40
