序号,分类,型号,标题,大小,分辨率,背光,类型,介质,亮度,对比度,Operating Temperature (oC),Storage Temperature (oC),应用,网址,Mass (g):,Outer Dimension (mm):,特性1,特性2
1,TFT Digital,TG035QVLQAANN-GN00,320X240分辨率，3.5寸，1200高亮度全透，24位RGB工业TFT,3.5,320X240,LED,Transmissive,24bits RGB/SPI,1200,1000:01:00,-20 to 70,-30 to 80,"LED, Super High Bright, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TG035QVLQAANN-GN00,40,76.9 (W)  x 63.9 (H)  x 4.9 (D) ,Monochrome TFT,Super High Brightness (1200nits)
2,TFT Digital,TCG035QVLPDANN-GN50,320X240分辨率，3.5寸，1000高亮度全透，24位RGB工业TFT,3.5,320X240,LED,Transmissive,24bits RGB/SPI,1000,1000:01:00,-20 to 70,-30 to 80,"High Bright, LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG035QVLPDANN-GN50,45,76.9 (W)  x 63.9 (H)  x 4.9 (D) ,Super High Brightness for outdoor application (1000nits),
3,TFT Digital,TCG035QVLPAANN-AN00,320X240分辨率，3.5寸，400亮度全透，24位RGB工业TFT,3.5,320X240,LED,Transmissive,24bits RGB/SPI,400,1000:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG035QVLPAANN-AN00,40,76.9 (W)  x 63.9 (H)  x 4.9 (D) ,,
4,TFT Digital,TCG035QVLPAAFA-AA00,320X240分辨率，3.5寸，320亮度全透，24位RGB工业TFT,3.5,320X240,LED,Transmissive,24bits RGB/SPI,320,1000:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG035QVLPAAFA-AA00,50,76.9 (W)  x 63.9 (H)  x 6.3 (D) ,4-wire resistive film touch screen,"3.5"" QVGA resolution"
5,TFT Digital,TCG043WQLBAANN-GN50,480X272分辨率，4.3寸，800高亮度全透，CMOS工业TFT,4.3,480X272,LED,Transmissive,CMOS,800,350:01:00,-20 to 70,-30 to 80,"High Bright, LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG043WQLBAANN-GN50,75,105.5 (W)  x 67.2 (H)  x 5.9 (D) ,High bright for outdoor application,100K hour LED lifetime
6,TFT Digital,TCG043WQLBAANN-GN00,480X272分辨率，4.3寸，450亮度全透，CMOS工业TFT,4.3,480X272,LED,Transmissive,CMOS,450,350:01:00,-20 to 70,-30 to 80,"LED, Side Mount, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG043WQLBAANN-GN00,75,105.5 (W)  x 67.2 (H)  x 5.9 (D) ,100K hour LED lifetime,Wide Operating temperature range
7,TFT Digital,TCG043WQLBAAFA-GA50,480X272分辨率，4.3寸，640亮度全透，CMOS工业TFT,4.3,480X272,LED,Transmissive,CMOS,640,350:01:00,-20 to 70,-30 to 80,"High Bright, LED, 4-wire resistive TTS, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG043WQLBAAFA-GA50,100,105.5 (W)  x 67.2 (H)  x 7.7 (D) ,With 4-wire resistive film touch sreen,"4.3"" WQVGA resolution"
8,TFT Digital,TCG043WQLBAAFA-GA00,480X272分辨率，4.3寸，360亮度全透，CMOS工业TFT,4.3,480X272,LED,Transmissive,CMOS,360,350:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG043WQLBAAFA-GA00,100,105.5 (W)  x 67.2 (H)  x 7.7 (D) ,With 4-wire resistive touch screen ,"4.3"" WQVGA TFT-LCD"
9,TFT Digital,TG057QVLGF-G00,320X240分辨率，5.7寸，1100高亮度全透，18位RGB工业TFT,5.7,320X240,LED,Transmissive,18-bit RGB Interface,1100,400:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TG057QVLGF-G00,140,134.5 (W)  x 103.4 (H)  x 8 (D) ,Monochrome TFT,
10,TFT Digital,TCG057VGLGA-G50,640X480分辨率，5.7寸，800高亮度全透，CMOS工业TFT,5.7,640X480,,Transmissive,CMOS,800,500:01:00,-20 to 70,-30 to 80,"High Bright, LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG057VGLGA-G50,145,134.5 (W)  x 103.4 (H)  x 8 (D) ,High brightness,
