,市场可交易,平均价格,最低价格
0,1,0.43,0.42
1,1,33.16,34.73
2,1,2.36,2.35
3,1,0.55,0.51
4,1,666,32.77
5,1,1.37,1.33
6,1,666,27.64
7,1,2.71,0.42
8,1,5.72,5.77
9,1,0.41,0.36
10,1,666,30.72
11,-1,-1,-1
12,0,0,0
13,-1,-1,-1
14,-1,-1,-1
15,-1,-1,-1
16,-1,-1,-1
17,1,0.02,0.04
18,-1,-1,-1
19,-1,-1,-1
20,-1,-1,-1
21,-1,-1,-1
22,0,0,0
23,-1,-1,-1
24,-1,-1,-1
25,0,0,0
26,-1,-1,-1
27,-1,-1,-1
28,-1,-1,-1
29,-1,-1,-1
30,1,0.04,0.05
31,1,0.61,0.6
32,-1,-1,-1
33,1,1.82,1.76
34,-1,-1,-1
35,-1,-1,-1
36,0,0,0
37,0,0,0
38,-1,-1,-1
39,-1,-1,-1
40,0,0,0
41,1,1.74,1.73
42,-1,-1,-1
43,-1,-1,-1
44,-1,-1,-1
45,-1,-1,-1
46,-1,-1,-1
47,-1,-1,-1
48,-1,-1,-1
49,-1,-1,-1
50,-1,-1,-1
51,-1,-1,-1
52,-1,-1,-1
53,-1,-1,-1
54,-1,-1,-1
55,-1,-1,-1
56,-1,-1,-1
57,-1,-1,-1
58,-1,-1,-1
59,-1,-1,-1
60,-1,-1,-1
61,-1,-1,-1
62,-1,-1,-1
63,-1,-1,-1
64,-1,-1,-1
65,-1,-1,-1
66,-1,-1,-1
67,-1,-1,-1
68,-1,-1,-1
69,-1,-1,-1
70,-1,-1,-1
71,-1,-1,-1
72,-1,-1,-1
73,1,0.03,0.04
74,-1,-1,-1
75,-1,-1,-1
76,-1,-1,-1
77,-1,-1,-1
78,1,0.02,0.04
79,1,1.48,1.46
80,1,4.82,4.71
81,1,6.93,6.93
82,1,0.52,0.49
83,1,666,865.74
84,1,4.93,4.95
85,1,28.24,26.95
86,-1,-1,-1
87,0,0,0
88,-1,-1,-1
89,-1,-1,-1
90,0,0,0
91,-1,-1,-1
92,-1,-1,-1
93,1,1.82,1.81
94,-1,-1,-1
95,-1,-1,-1
96,-1,-1,-1
97,-1,-1,-1
98,0,0,0
99,1,0.52,0.41
100,-1,-1,-1
101,-1,-1,-1
102,1,29.55,33.16
103,1,2.18,2.24
104,-1,-1,-1
105,-1,-1,-1
106,-1,-1,-1
107,0,0,0
108,1,1.23,1.26
109,-1,-1,-1
110,-1,-1,-1
111,-1,-1,-1
112,-1,-1,-1
113,-1,-1,-1
114,-1,-1,-1
115,1,5.94,6.09
116,1,160.41,198.22
117,-1,-1,-1
118,0,0,0
119,-1,-1,-1
120,-1,-1,-1
121,1,0.48,0.58
122,-1,-1,-1
123,1,1.94,2.34
124,-1,-1,-1
125,-1,-1,-1
126,0,0,0
127,-1,-1,-1
128,1,13.72,14.6
129,-1,-1,-1
130,0,0,0
131,-1,-1,-1
132,-1,-1,-1
133,-1,-1,-1
134,-1,-1,-1
135,1,0.31,0.31
136,1,64.17,81.82
137,-1,-1,-1
138,0,0,0
139,-1,-1,-1
140,1,0.13,0.29
141,-1,-1,-1
142,-1,-1,-1
143,-1,-1,-1
144,1,14.75,21.46
145,-1,-1,-1
146,-1,-1,-1
147,0,0,0
148,-1,-1,-1
149,-1,-1,-1
150,-1,-1,-1
151,-1,-1,-1
152,-1,-1,-1
153,1,173.43,160.4
154,1,0.28,0.28
155,-1,-1,-1
156,0,0,0
157,-1,-1,-1
158,1,107.51,112.08
159,1,5.12,5.21
160,1,0.59,0.69
161,1,666,29.5
162,1,3.46,3.48
163,1,666,4.41
164,1,4.13,4.17
165,1,0.37,0.37
166,1,3.77,3.83
167,0,0,0
168,1,666,666
169,1,666,101.14
170,1,666,666
171,1,666,237.4
172,1,666,28.56
173,1,0.66,0.7
174,1,5.89,7.32
175,0,0,0
176,-1,-1,-1
177,-1,-1,-1
178,-1,-1,-1
179,1,0.63,0.62
180,-1,-1,-1
181,-1,-1,-1
182,1,54.77,68.14
183,1,666,8.45
184,-1,-1,-1
185,-1,-1,-1
186,1,2.05,2.12
187,-1,-1,-1
188,-1,-1,-1
189,-1,-1,-1
190,-1,-1,-1
191,-1,-1,-1
192,-1,-1,-1
193,-1,-1,-1
194,-1,-1,-1
195,1,2.15,2.09
196,-1,-1,-1
197,-1,-1,-1
198,1,1.18,1.24
199,-1,-1,-1
200,1,0.93,0.93
201,1,9.46,10.09
202,-1,-1,-1
203,-1,-1,-1
204,-1,-1,-1
205,-1,-1,-1
206,0,0,0
207,-1,-1,-1
208,1,0.6,0.6
209,1,666,118.34
210,1,0.53,0.54
211,-1,-1,-1
212,-1,-1,-1
213,-1,-1,-1
214,-1,-1,-1
215,-1,-1,-1
216,-1,-1,-1
217,-1,-1,-1
218,-1,-1,-1
219,-1,-1,-1
220,-1,-1,-1
221,-1,-1,-1
222,-1,-1,-1
223,-1,-1,-1
224,-1,-1,-1
225,1,12.14,12.23
226,-1,-1,-1
227,-1,-1,-1
228,-1,-1,-1
229,0,0,0
230,1,0.46,0.48
231,-1,-1,-1
232,-1,-1,-1
233,-1,-1,-1
234,-1,-1,-1
235,-1,-1,-1
236,-1,-1,-1
237,-1,-1,-1
238,0,0,0
239,-1,-1,-1
240,-1,-1,-1
241,-1,-1,-1
242,-1,-1,-1
243,-1,-1,-1
244,-1,-1,-1
245,-1,-1,-1
246,-1,-1,-1
247,0,0,0
248,-1,-1,-1
249,-1,-1,-1
250,-1,-1,-1
251,1,0.38,0.39
252,-1,-1,-1
253,-1,-1,-1
254,-1,-1,-1
255,-1,-1,-1
256,-1,-1,-1
257,-1,-1,-1
258,-1,-1,-1
259,-1,-1,-1
260,-1,-1,-1
261,1,0.22,0.23
262,-1,-1,-1
263,-1,-1,-1
264,0,0,0
265,1,0.03,0.04
266,-1,-1,-1
267,-1,-1,-1
268,-1,-1,-1
269,-1,-1,-1
270,0,0,0
271,-1,-1,-1
272,-1,-1,-1
273,1,0.19,0.19
